"row ID","event_id","sequence","reason","type","minute","away_score","home_score","assist","player","is_home","sequence (#1)","goal_type","player_id","added_time","player_in","player_out","player_in_id","player_out_id","length","card_type","decision","confirmed","is_manager","text","received_at","is_live"
"Row99_25",8386,24,,"goal",67,1,1,"R. Rodríguez","D. Ndoye",0,,"regular",551,,,,,,,,,,,,"2026-07-12T09:01:23.051Z",
"Row99_26",8386,25,,"period",45,0,1,,,,,,,,,,,,,,,,,"HT","2026-07-12T09:01:23.051Z",0
"Row99_27",8386,26,,"injuryTime",45,,,,,,,,,,,,,,4,,,,,,"2026-07-12T09:01:23.051Z",
"Row99_28",8386,27,,"card",44,,,,"B. Embolo",0,,,2811,,,,,,,"yellow",,,,,"2026-07-12T09:01:23.051Z",
"Row99_29",8386,28,,"goal",10,0,1,"L. Messi","A. Mac Allister",1,,"regular",328,,,,,,,,,,,,"2026-07-12T09:01:23.051Z",
"Row98_1",8385,0,,"period",120,2,1,,,,,,,,,,,,,,,,,"ET","2026-07-12T05:01:22.542Z",0
"Row98_2",8385,1,,"injuryTime",120,,,,,,,,,,,,,,2,,,,,,"2026-07-12T05:01:22.542Z",
"Row98_3",8385,2,,"card",117,,,,"K. Ajer",1,,,464,,,,,,,"yellow",,,,,"2026-07-12T05:01:22.542Z",
"Row98_4",8385,3,,"substitution",111,,,,,0,,,,,"D. Burn","J. Bellingham",701,592,,,,,,,"2026-07-12T05:01:22.542Z",
"Row98_5",8385,4,,"substitution",106,,,,,1,,,,,"J. Larsen","E. Haaland",531,852,,,,,,,"2026-07-12T05:01:22.542Z",
"Row98_6",8385,5,,"injuryTime",105,,,,,,,,,,,,,,3,,,,,,"2026-07-12T05:01:22.542Z",
"Row98_7",8385,6,,"varDecision",101,,,,"D. Spence",0,,,735,,,,,,,,"penaltyAwarded",0,,,"2026-07-12T05:01:22.542Z",
"Row98_8",8385,7,,"goal",93,2,1,,"J. Bellingham",0,,"regular",592,,,,,,,,,,,,"2026-07-12T05:01:22.542Z",
"Row98_9",8385,8,,"substitution",91,,,,,1,,,,,"L. Østigård","T. Heggem",2590,957,,,,,,,"2026-07-12T05:01:22.542Z",
"Row98_10",8385,9,,"period",90,1,1,,,,,,,,,,,,,,,,,"FT","2026-07-12T05:01:22.542Z",0
"Row98_11",8385,10,,"substitution",90,,,,,1,,,,,"M. Pedersen","D. M. Wolfe",1838,529,,,,,,,"2026-07-12T05:01:22.542Z",
"Row98_12",8385,11,,"injuryTime",90,,,,,,,,,,,,,,7,,,,,,"2026-07-12T05:01:22.542Z",
"Row98_13",8385,12,,"substitution",89,,,,,0,,,,,"M. Rogers","E. Konsa",511,504,,,,,,,"2026-07-12T05:01:22.542Z",
"Row98_14",8385,13,,"substitution",86,,,,,0,,,,,"D. Spence","N. O’Reilly",735,847,,,,,,,"2026-07-12T05:01:22.542Z",
"Row98_15",8385,14,,"substitution",71,,,,,0,,,,,"R. James","A. Gordon",400,711,,,,,,,"2026-07-12T05:01:22.542Z",
"Row98_16",8385,15,,"substitution",68,,,,,1,,,,,"A. Nusa","A. Schjelderup",2897,2064,,,,,,,"2026-07-12T05:01:22.542Z",
"Row98_17",8385,16,,"substitution",68,,,,,1,,,,,"O. Bobb","A. Sørloth",3651,774,,,,,,,"2026-07-12T05:01:22.542Z",
"Row98_18",8385,17,,"substitution",60,,,,,1,,,,,"F. Aursnes","J. Ryerson",2056,2159,,,,,,,"2026-07-12T05:01:22.542Z",
"Row98_19",8385,18,,"varDecision",56,,,,"T. Heggem",1,,,957,,,,,,,,"goalAwarded",0,,,"2026-07-12T05:01:22.542Z",
"Row98_20",8385,19,,"substitution",46,,,,,0,,,,,"B. Saka","N. Madueke",455,450,,,,,,,"2026-07-12T05:01:22.542Z",
"Row98_21",8385,20,,"substitution",46,,,,,0,,,,,"E. Eze","D. Rice",454,449,,,,,,,"2026-07-12T05:01:22.542Z",
"Row98_22",8385,21,,"period",45,1,1,,,,,,,,,,,,,,,,,"HT","2026-07-12T05:01:22.542Z",0
"Row98_23",8385,22,,"goal",45,1,1,"A. Gordon","J. Bellingham",0,,"regular",592,2,,,,,,,,,,,"2026-07-12T05:01:22.542Z",
"Row98_24",8385,23,,"injuryTime",45,,,,,,,,,,,,,,4,,,,,,"2026-07-12T05:01:22.542Z",
"Row98_25",8385,24,,"goal",36,0,1,"M. Ødegaard","A. Schjelderup",1,,"regular",2064,,,,,,,,,,,,"2026-07-12T05:01:22.542Z",
"Row97_1",8384,0,,"period",90,1,2,,,,,,,,,,,,,,,,,"FT","2026-07-11T03:01:22.258Z",0
"Row97_2",8384,1,,"card",90,,,,"A. Witsel",0,,,1042,5,,,,,,"yellow",,,,,"2026-07-11T03:01:22.258Z",
"Row97_3",8384,2,,"card",90,,,,"A. Laporte",1,,,565,3,,,,,,"yellow",,,,,"2026-07-11T03:01:22.258Z",
"Row97_4",8384,3,,"injuryTime",90,,,,,,,,,,,,,,7,,,,,,"2026-07-11T03:01:22.258Z",
"Row97_5",8384,4,,"goal",88,1,2,,"M. Merino",1,"[ {
  ""end"" : {
    ""x"" : 49,
    ""y"" : 71.1
  },
  ""pid"" : 740,
  ""pos"" : {
    ""x"" : 38.5,
    ""y"" : 55.6
  },
  ""event"" : ""pass"",
  ""player"" : ""P. Cubarsí""
}, {
  ""end"" : {
    ""x"" : 84.3,
    ""y"" : 92.8
  },
  ""pid"" : 744,
  ""pos"" : {
    ""x"" : 49,
    ""y"" : 71.1
  },
  ""event"" : ""ball-movement"",
  ""player"" : ""Pedri""
}, {
  ""end"" : {
    ""x"" : 84.3,
    ""y"" : 92.8
  },
  ""pid"" : 744,
  ""pos"" : {
    ""x"" : 66.3,
    ""y"" : 75.8
  },
  ""event"" : ""pass"",
  ""player"" : ""Pedri""
}, {
  ""end"" : {
    ""x"" : 72,
    ""y"" : 70.8
  },
  ""pid"" : 386,
  ""pos"" : {
    ""x"" : 84.4,
    ""y"" : 90.3
  },
  ""event"" : ""pass"",
  ""player"" : ""M. Cucurella""
}, {
  ""end"" : {
    ""x"" : 72.2,
    ""y"" : 37.7
  },
  ""pid"" : 744,
  ""pos"" : {
    ""x"" : 72.2,
    ""y"" : 60
  },
  ""event"" : ""pass"",
  ""player"" : ""Pedri""
}, {
  ""gm"" : {
    ""x"" : 36.02,
    ""y"" : 88.33
  },
  ""pid"" : 740,
  ""pos"" : {
    ""x"" : 74.9,
    ""y"" : 33.1
  },
  ""event"" : ""save"",
  ""player"" : ""P. Cubarsí""
}, {
  ""gk"" : {
    ""x"" : 98,
    ""y"" : 50.4
  },
  ""gm"" : {
    ""x"" : 34.41,
    ""y"" : 54.67
  },
  ""pid"" : 451,
  ""pos"" : {
    ""x"" : 95.2,
    ""y"" : 51.9
  },
  ""body"" : ""left-foot"",
  ""event"" : ""goal"",
  ""player"" : ""M. Merino""
} ]","regular",451,,,,,,,,,,,,"2026-07-11T03:01:22.258Z",
"Row97_6",8384,5,,"substitution",86,,,,,1,,,,,"M. Merino","D. Olmo",451,746,,,,,,,"2026-07-11T03:01:22.258Z",
"Row97_7",8384,6,,"substitution",86,,,,,0,,,,,"A. Saelemaekers","K. De Bruyne",1991,4374,,,,,,,"2026-07-11T03:01:22.258Z",
"Row97_8",8384,7,,"card",85,,,,"K. De Bruyne",0,,,4374,,,,,,,"yellow",,,,,"2026-07-11T03:01:22.258Z",
"Row97_9",8384,8,,"substitution",79,,,,,1,,,,,"N. Williams","M. Oyarzabal",571,3890,,,,,,,"2026-07-11T03:01:22.258Z",
"Row97_10",8384,9,,"substitution",71,,,,,0,,,,,"S. Lammens","T. Courtois",1788,585,,,,,,,"2026-07-11T03:01:22.258Z",
"Row97_11",8384,10,,"substitution",61,,,,,0,,,,,"J. Seys","M. De Cuyper",3538,491,,,,,,,"2026-07-11T03:01:22.258Z",
"Row97_12",8384,11,,"substitution",60,,,,,0,,,,,"R. Lukaku","H. Vanaken",8676,3542,,,,,,,"2026-07-11T03:01:22.258Z",
"Row97_13",8384,12,,"substitution",60,,,,,0,,,,,"A. Witsel","L. Trossard",1042,3461,,,,,,,"2026-07-11T03:01:22.258Z",
"Row97_14",8384,13,,"substitution",55,,,,,1,,,,,"Pedri","F. Ruiz",744,2249,,,,,,,"2026-07-11T03:01:22.258Z",
